X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.252770000053033,34.101494999764959,1081,0,5440029900,OPLA,Owned,General Services,R2-1VL,2601 RIVERSIDE TER,Los Angeles,LOS ANGELES,-118.25277,34.101495,13,25.7842, 
-118.22653399969775,34.124299000556213,1082,0,5473015900,OPLA,Owned,General Services,R1-1,YORK BLVD/AVE 42,Los Angeles,LOS ANGELES,-118.226534,34.124299,14,337.3088997,None
-118.188459000703446,34.119808999822077,1083,0,5484004900,OPLA,Owned,General Services,R1-1,ALDAMA ST/MERIDIAN ST,Los Angeles,LOS ANGELES,-118.188459,34.119809,14,68.00869998,None
-118.317813100308001,34.062802399830325,1084,0,5504009900,Not Classified,Owned,General Services,RE15-1-HPOZ,BRONSON AVE/6TH ST,LOS ANGELES,UNKNOWN,-118.3178131,34.0628024,4,1322.5686,None
-118.32002399974931,34.099876000236357,1085,0,5545007900,OPLA,Owned,General Services,[Q]R4-1VL,GORDON ST/CARLTON WAY,Los Angeles,LOS ANGELES,-118.320024,34.099876,13,186.0000001, 
-118.341697499895645,34.110797140222019,1086,0,5549014901,OPLA,Owned,General Services,RE9-1,LOS TILOS RD/LA PRESA DR,Los Angeles,LOS ANGELES,-118.3416975,34.11079714,4,320.4677503, 
-118.370810900225678,34.119056460044703,1087,0,5565023900,OPLA,Owned,General Services,RE11-1,WILLOW GLEN RD/WOODSTOCK RD,Los Angeles,LOS ANGELES,-118.3708109,34.11905646,4,224.7394023,None
-118.373309900158361,34.116574709529402,1088,0,5565026900,Not Classified,Owned,General Services,RE11-1,DOMINION WAY/DOMINION LN,LOS ANGELES,LOS ANGELES,-118.3733099,34.11657471,4,1378.677321, 
-118.377127699691698,34.107872690123614,1089,0,5567012901,Not Classified,Owned,General Services,R1-1,GROVELAND DR/KEW DR,LOS ANGELES,UNKNOWN,-118.3771277,34.10787269,4,24398.08648, 
-118.377536000158031,34.108209740143202,1090,0,5567013900,Not Classified,Owned,General Services,R1-1,STANLEY HILLS PL/STANLEY HILLS DR,LOS ANGELES,UNKNOWN,-118.377536,34.10820974,4,9037.16675, 
-118.375486299801196,34.108275329494163,1091,0,5567019900,OPLA,Owned,General Services,R1-1,JEWETT DR/ELUSIVE DR,Los Angeles,LOS ANGELES,-118.3754863,34.10827533,4,379.1703313,None
-118.371602399534325,34.107957330413399,1092,0,5567022900,OPLA,Owned,General Services,R1-1,OAKDEN DR/UTICA DR,Los Angeles,LOS ANGELES,-118.3716024,34.10795733,4,389.6729, 
-118.374994600642225,34.107538390051474,1093,0,5567024900,OPLA,Owned,General Services,R1-1,UTICA DR/WEEPAH WAY,Los Angeles,LOS ANGELES,-118.3749946,34.10753839,4,625.9286497, 
-118.347112800448187,34.113489630619334,1094,0,5572011900,OPLA,Owned,General Services,RE15-1-H,CHELAN WAY/CHELAN DR,Los Angeles,LOS ANGELES,-118.3471128,34.11348963,4,120.30225, 
-118.333711100625706,34.110123399360283,1095,0,5576002900,OPLA,Owned,General Services,R1-1,LASH LN/WHITLEY TER,Los Angeles,LOS ANGELES,-118.3337111,34.1101234,4,16.30469992,None
-118.217425900183713,34.144480879413486,1096,0,5671001900,Not Classified,Owned,General Services,PF-1,HILL DR/HILLTOP RD,LOS ANGELES,UNKNOWN,-118.2174259,34.14448088,14,2748.756992,None
-118.231505999623877,34.13557899995434,1097,0,5683013900,OPLA,Owned,General Services,R1-1,922 OSCELA,Los Angeles,LOS ANGELES,-118.231506,34.135579,14,1949.115301,None
-118.222889999917413,34.13478300007317,1098,0,5683021900,OPLA,Owned,General Services,R1-1,ADJECENT TO 4888 ROUND TOP DR,Los Angeles,LOS ANGELES,-118.22289,34.134783,14,1064.620181,None
-118.18993900028687,34.138271009841475,1099,0,5690022900,Not Classified,Owned,General Services,R2-1,MONTE BONITO DR/KIPLING AVE,LOS ANGELES,UNKNOWN,-118.189939,34.13827101,14,1174.5622,None
-118.267238300155014,33.973589590087755,1100,0,6022023900,OPLA,Owned,General Services,R2-1,424 73RD ST,Los Angeles,LOS ANGELES,-118.2672383,33.97358959,9,1505.1419,None
-118.303346999281828,33.863718000625475,1101,0,6108007900,OPLA,Owned,General Services,R1-1,1526 184TH ST,Los Angeles,LOS ANGELES,-118.303347,33.863718,15,43.64999998, 
-118.279427000357771,33.777102999834774,1102,0,7416001900,OPLA,Owned,General Services,R1-1XL-O,FIGUEROA ST/ARABIC ST,Los Angeles,LOS ANGELES,-118.279427,33.777103,15,399.4338005, 
-118.261002000518261,33.775504000055122,1103,0,7418013900,OPLA,Owned,General Services,[Q]CM-1VL-O,545 BROAD AVE,Los Angeles,WILMINGTON,-118.261002,33.775504,15,466.1871356,None
